Material_ID,Name,Calorie,Protein,Lipids,Fiber,Carbohydrates,SaltContent
1196,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,163,2.7,7.2,2.4,24.4,1.1
1063,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,347,12.9,1.8,5.4,73.1,0
1064,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,150,5.8,0.9,3,32.2,1.2
1173,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,186,-5.5,-5.8,-2.9,-30.5,-1.1
1149,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,232,7.8,1.9,1.5,46.9,1.2
1065,こむぎ　［ふ類］　生ふ,161,12.7,0.8,0.5,26.2,0
1066,こむぎ　［ふ類］　焼きふ　釜焼きふ,357,28.5,2.7,3.7,56.9,0
1067,こむぎ　［ふ類］　焼きふ　板ふ,351,25.6,3.3,3.8,57.3,0.5
1068,こむぎ　［ふ類］　焼きふ　車ふ,361,30.2,3.4,2.6,54.2,0.3
1177,こむぎ　［ふ類］　油ふ,547,22.7,35.3,-,34.4,0.1
1070,こむぎ　［その他］　小麦はいが,391,32,11.6,14.3,48.3,0
1071,こむぎ　［その他］　小麦たんぱく　粉末状,398,72,9.7,2.4,10.6,0.2
1072,こむぎ　［その他］　小麦たんぱく　粒状,101,20,2,0.4,1.8,0.1
1073,こむぎ　［その他］　小麦たんぱく　ペースト状,145,25,4.1,0.5,3.9,0.6
1178,こむぎ　［その他］　かやきせんべい,359,10.6,1.9,-,75.1,2.5
1074,こむぎ　［その他］　ぎょうざの皮　生,275,9.3,1.4,2.2,57,0
1075,こむぎ　［その他］　しゅうまいの皮　生,275,8.3,1.4,2.2,58.9,0
1179,こむぎ　［その他］　春巻きの皮　生,288,8.3,1.6,4.5,62.2,1.1
1180,こむぎ　［その他］　春巻きの皮　揚げ,512,7.2,30.7,4.2,53.7,0.9
1076,こむぎ　［その他］　ピザ生地,265,9.1,3,2.3,51.1,1.3
1069,こむぎ　［その他］　ちくわぶ,160,7.1,1.2,1.5,31.1,0
